observability,line_conditioned,line,terminal_side,fold,n_relays,n_channels,n_episodes_test,n_windows_test,mae,rmse,experiment,model,selected_relays,uses_faulted_line_for_input_selection,deployment_interpretation
terminal_pair,True,Line_2_3_a,,1,2,12,633,5697,0.0803355798125267,0.1150412233858895,reduced_observability_fl_50ms,cnn_lstm_regressor,Bus_2_Line_02_03A;Bus_3_Line_02_03A,True,conditional_on_fault_line_identification
terminal_pair,True,Line_2_3_a,,2,2,12,633,5697,0.1127830892801284,0.1521460338299826,reduced_observability_fl_50ms,cnn_lstm_regressor,Bus_2_Line_02_03A;Bus_3_Line_02_03A,True,conditional_on_fault_line_identification
terminal_pair,True,Line_2_3_a,,3,2,12,633,5697,0.0807025134563446,0.1086449740713574,reduced_observability_fl_50ms,cnn_lstm_regressor,Bus_2_Line_02_03A;Bus_3_Line_02_03A,True,conditional_on_fault_line_identification
terminal_pair,True,Line_2_3_a,,4,2,12,633,5697,0.1213476583361625,0.1580015770680302,reduced_observability_fl_50ms,cnn_lstm_regressor,Bus_2_Line_02_03A;Bus_3_Line_02_03A,True,conditional_on_fault_line_identification
terminal_pair,True,Line_2_3_b,,0,2,12,268,2412,0.1061883419752121,0.1391398900316244,reduced_observability_fl_50ms,cnn_lstm_regressor,Bus_2_Line_02_03B;Bus_3_Line_02_03B,True,conditional_on_fault_line_identification
terminal_pair,True,Line_2_3_b,,1,2,12,268,2412,0.10239839553833,0.1378731492290972,reduced_observability_fl_50ms,cnn_lstm_regressor,Bus_2_Line_02_03B;Bus_3_Line_02_03B,True,conditional_on_fault_line_identification
terminal_pair,True,Line_2_3_b,,2,2,12,268,2412,0.1034679114818573,0.1400109767016656,reduced_observability_fl_50ms,cnn_lstm_regressor,Bus_2_Line_02_03B;Bus_3_Line_02_03B,True,conditional_on_fault_line_identification
terminal_pair,True,Line_2_3_b,,3,2,12,267,2403,0.1137737482786178,0.145772929255665,reduced_observability_fl_50ms,cnn_lstm_regressor,Bus_2_Line_02_03B;Bus_3_Line_02_03B,True,conditional_on_fault_line_identification
terminal_pair,True,Line_2_3_b,,4,2,12,267,2403,0.0913823768496513,0.1257061384561768,reduced_observability_fl_50ms,cnn_lstm_regressor,Bus_2_Line_02_03B;Bus_3_Line_02_03B,True,conditional_on_fault_line_identification
single_ended,True,Line_1_2_a,a,0,1,6,639,5751,0.1661570817232132,0.2086737275835791,reduced_observability_fl_50ms,cnn_lstm_regressor,Bus_1_Line_01_02A,True,conditional_on_fault_line_identification
single_ended,True,Line_1_2_a,a,1,1,6,638,5742,0.1616391688585281,0.2062811217525079,reduced_observability_fl_50ms,cnn_lstm_regressor,Bus_1_Line_01_02A,True,conditional_on_fault_line_identification
single_ended,True,Line_1_2_a,a,2,1,6,638,5742,0.1544140428304672,0.1943556042405167,reduced_observability_fl_50ms,cnn_lstm_regressor,Bus_1_Line_01_02A,True,conditional_on_fault_line_identification
single_ended,True,Line_1_2_a,a,3,1,6,638,5742,0.1674655824899673,0.2134178091240432,reduced_observability_fl_50ms,cnn_lstm_regressor,Bus_1_Line_01_02A,True,conditional_on_fault_line_identification
